_id;firstName;middleName;lastName;nameNick;pos;height;weight;college;birthDate;birthCity;birthState;birthCountry;birthCountry_;highSchool;hsCity;hsState;hsCountry;hsCountry_
alhalta01w;Tawona;;Alhaleem;T;Guard-Forward;182.88;67.585;DePaul;1974-10-17;Flint;MI;USA;United States of America;Flint central;Flint;MI;USA;United States of America
allench01w;Charel;;Allen;;Guard;180.34;61.235;Notre Dame;1986-07-23;Monessen;PA;USA;United States of America;Monessen;Monessen;PA;USA;United States of America
allenso99w;Sonny;;Allen;;;;;;;;;;;;;;;
amachma01w;Mactabene;;Amachree;;Forward;185.42;79.379;;1978-01-30;Port harcourt;;NGR;Nigeria;;;;;
ambermo01w;Monique;;Ambers;;Forward;193.04;76.657;Arizona State;1970-12-21;;;;;;;;;
anderam01w;Ambrosia;;Anderson;;Forward;182.88;75.75;Brigham Young;1984-03-14;;;;;;;;;
anderch01w;Chantelle;;Anderson;;Center;198.12;86.182;Vanderbilt;1981-01-22;;;;;;;;;
anderjo01w;Jolene;;Anderson;;Guard;172.72;75.296;Wisconsin;1986-07-22;;;;;;;;;
anderke01w;Keisha;;Anderson;;Guard;170.18;56.699;Wisconsin;1974-05-17;;;;;;;;;
andrame01w;Mery;;Andrade;;Forward;180.34;74.843;Old Dominion;1975-12-31;;;;;;;;;
angelyv01w;Yvette;;Angel;;Guard;172.72;72.575;Ohio State;1963-10-14;;;;;Sacred heart academy;Amherst;NY;USA;United States of America
anosini01w;Nkolika;Nonyalem;Anosike;Nicky;Center;190.5;95.708;Tennessee;1986-02-27;;;;;St. peters;Staten island;NY;USA;United States of America
appelja01w;Jayne;Katherine;Appel;;Center;193.04;95.254;Stanford;1988-05-14;Berkeley;;USA;United States of America;Carondelet;Concord;CA;USA;United States of America
arcaija01w;Janeth;dos Santos;Arcain;;Guard;180.34;66.678;none;1969-04-11;Carapicuiba;;BRA;Brazil;Minas gerais;Santo andres;;BRA;Brazil
artiska01w;Katasha;R.;Artis;;Forward;185.42;70.307;Northeastern;1973-07-09;;;;;;;;;
askamma01w;Marlies;;Askamp;;Center;195.58;89.811;none;1970-08-07;Dousten;;GER;Germany;;;;;
atkinla01w;La'Tangela;;Atkinson;;Guard-Forward;182.88;78.018;North Carolina;1984-03-22;;;;;Lee central;Bishopville;SC;USA;United States of America
atunrmo01w;Morenike;Olayinka;Atunrase;;Guard-Forward;177.8;64.864;Texas A&M;1986-04-14;;;;;;;;;
augusse01w;Seimone;Delicia;Augustus;;Forward;182.88;81.193;Louisiana State;1984-04-30;Baton rouge;LA;USA;United States of America;Capitol;Baton rouge;LA;USA;United States of America
aycocan01w;Angela;;Aycock;;Guard-Forward;187.96;78.018;Kansas;1973-02-28;;;;;;;;;
ayimmi01w;Miranda;;Ayim;;Forward;190.5;;Pepperdine;1988-05-06;Chatham;;CAN;Canada;Saunders secondary school;London;ON;CAN;Canada
azizle01w;Leigh;;Aziz;;Forward;190.5;80.286;Syracuse;1979-02-28;;;;;;;;;
azzije01w;Jennifer;L.;Azzi;;Guard;172.72;64.864;Stanford;1968-08-31;Oak ridge;;USA;United States of America;;;;;
badertr01w;Tricia;Lynne;Bader Binford;Bader Mader;Guard;162.56;56.699;Boise State;1973-02-26;Boise;;USA;United States of America;Roaring fork;Carbondale;CO;USA;United States of America
bakerla01w;Laura;;Baker;;Guard;170.18;63.503;California;1968-12-18;;;;;;;;;
bakersh01w;Sherill;;Baker;;Guard;172.72;56.699;Georgia;1982-12-03;;;;;;;;;
balesal01w;Alison;;Bales;;Center;200.66;98.883;Duke;1985-04-04;;;;;Beavercreek;Beavercreek;OH;USA;United States of America
banchrh01w;Rhonda;;Smith Banchero;;Center;190.5;83.915;Washington;1973-05-01;;;;;;;;;
baranel01w;Elena;Viktorovna;Baranova;;Forward;195.58;82.554;Academy of Sport Moscow;1972-01-28;Bishkek;KYG;URS;Soviet Union;47 bishkek;Bishkek;KYG;URS;Soviet Union
barksla01w;LaQuanda;;Barksdale;;Guard;177.8;70.76;North Carolina;1979-10-03;;;;;;;;;
barnead01w;Adia;Oshun;Barnes;;Forward;180.34;74.843;Arizona;1977-02-03;San diego;CA;USA;United States of America;Mission bay;San diego;CA;USA;United States of America
barnequ01w;Quacy;Maria;Barnes;Q;Center;195.58;83.915;Indiana;1976-09-26;Benton harbor;MI;USA;United States of America;Benton harbor;Benton harbor;MI;USA;United States of America
bassmi01w;Mistie;;Bass Williams Mims;;Forward;190.5;83.461;Duke;1983-12-02;;;;;Parker;Janesville;WI;USA;United States of America
batkosu01w;Suzy;;Batkovic;;Center;193.04;92.079;;1980-12-17;Newcastle;;AUS;Australia;;;;;
batteja01w;Jacqueline;;Batteast;;Forward;185.42;73.935;Notre Dame;1983-03-26;;;;;;;;;
battlas01w;Ashley;;Battle;;Forward;182.88;77.111;Connecticut;1982-05-31;;;;;The linsley school;Pittsburgh;PA;USA;United States of America
bauerca01w;Cass;;Bauer-Bilodeau;;Forward-Center;193.04;81.647;Montana State;1972-06-27;;;;;;;;;
beardal01w;Alana;;Beard;;Guard-Forward;180.34;72.575;Duke;1982-05-14;;;;;Southwood;Frierson;LA;USA;United States of America
becenry01w;Ryneldi;;Becenti;;Guard;167.64;63.503;Arizona State;1971-08-11;Fort defiance;;USA;United States of America;Window rock;Window rock;AZ;USA;United States of America
beckan99wc;Angela;;Beck;;;;;;;;;;;;;;;
beckki01w;Kimberly;;Beck;;Guard;172.72;56.699;George Washington;1985-12-27;;;;;;;;;
bellje01w;Jennifer;;Bell;;Forward;185.42;72.575;Florida International;1970-05-26;;;;;;;;;
bennije01w;Jenni;;Benningfield;;Forward;190.5;83.915;Vanderbilt;1981-10-06;;;;;;;;;
berezva01w;Valeriya;;Berezhynska;;Center;193.04;;Rice;1986-04-10;Nikolaev;;URS;Soviet Union;Northwest christian academy;Fort worth;TX;USA;United States of America
berggas01w;Ashley;;Berggren;;Guard;177.8;77.111;Illinois;1976-11-18;;;;;;;;;
berrysh01w;Shanda;;Berry;;Forward-Center;190.5;79.379;Iowa;1967-07-06;;;;;;;;;
berthlu01w;Lucienne;;Berthieu;;Forward-Center;187.96;85.275;Old Dominion;1978-03-31;;;;;;;;;
berubca01w;Carla;;Berube;;Forward;182.88;70.307;Connecticut;1975-09-02;;;;;;;;;
beviltu01w;Tully;Louise;Bevilaqua (nee Crook);;Guard;170.18;65.771;;1972-07-19;Merredin;;AUS;Australia;;;;;
bibbyhe01w;Henry;;Bibby;;;;;;;;;;;;;;;
bibbyje01w;Jessica;;Bibby;;Guard;170.18;63.049;;1979-08-23;;;;;;;;;
bibrzag01w;Agnieszka;;Bibrzycka;;Guard-Forward;187.96;76.203;;1982-10-21;;;;;;;;;
birdsu01w;Suzanne;Brigit;Bird;Sue;Guard;175.26;68.039;Connecticut;1980-10-16;Syosset;;USA;United States of America;Christ the king;Middle village;NY;USA;United States of America
bishoab01w;Abby;;Bishop;;Forward-Center;187.96;;;1988-11-29;Booleroo centre;;AUS;Australia;;;;;
bjedoni01w;Nina;;Bjedov;;Center;198.12;88.45;;1971-05-18;;;;;;;;;
bjorkan01w;Angie;;Bjorklund;;Forward;182.88;75.296;Tennessee;1989-07-14;Spokane valley;WA;USA;United States of America;University;Spokane valley;WA;USA;United States of America
bjorkte01w;Tera;;Bjorklund;;Center;193.04;79.379;Colorado;1982-06-29;;;;;;;;;
blackch01w;Chante;;Black;;Center;195.58;85.275;Duke;1985-11-12;;;;;East forsyth;Kernersville;NC;USA;United States of America
blackde01w;Debbie;;Black;;Guard;160.02;56.245;St. Joseph's;1966-07-29;;;;;;;;;
bladerh01w;Rhonda;Renae;Blades;;Guard;170.18;62.596;Vanderbilt;1972-10-29;Springfield;MO;USA;United States of America;Parkview;Springfield;MO;USA;United States of America
blodgci01w;Cindy;Lee;Blodgett;;Guard;175.26;58.967;Maine;1975-12-23;Waterville;;USA;United States of America;Lawrence;Fairfield;ME;USA;United States of America
blueni01w;Nikki;;Blue;;Guard;172.72;73.935;UCLA;1984-03-29;;;;;West bakersfield;Bakersfield;CA;USA;United States of America
blueoc01w;Octavia;;Blue;;Forward;185.42;73.935;Miami (FL);1976-08-18;;;;;;;;;
bobbish01w;Shannon;;Bobbitt;;Guard;157.48;58.967;Tennessee;1985-12-06;;;;;;;;;
boddiwh01w;Whitney;Erinn;Boddie;;Guard;175.26;67.585;Auburn;1987-01-23;;;;;Florence;Florence;AL;USA;United States of America
boguemu01w;Muggsy;;Bogues;;;;;;;;;;;;;;;
boldeba01w;Barbara;;Bolden;;Guard;187.96;81.647;Louisiana Tech;1969-06-16;;;;;Huntington;Huntington;LA;USA;United States of America
boltoru01w;Alice;Ruth;Bolton;Ruthie;Guard;175.26;68.039;Auburn;1967-05-25;Lucedale;;USA;United States of America;Mcclain;Mcclain;MS;USA;United States of America
bondla01w;LaToya;;Bond;;Guard;170.18;59.874;Missouri;1984-02-13;;;;;;;;;
bonfisu01w;Susanna;;Bonfiglio;;Guard;172.72;65.771;;1974-09-08;Savonna;;ITA;Italy;;;;;
bonnede01w;DeWanna;;Bonner;;Guard;193.04;61.689;Auburn;1987-08-21;;;;;Fairfield;Fairfield;ME;USA;United States of America
bookeka01w;Karen;;Booker;;Center;185.42;77.111;Vanderbilt;1965-04-10;Franklin;;USA;United States of America;;;;;
bosweca01w;Catherine;La Ora;Boswell;Cathy;Guard-Forward;182.88;76.203;Illinois State;1962-11-10;Joliet;IL;USA;United States of America;;;;;
bouceje01w;Jenny;;Boucek;;Guard;172.72;58.967;Virginia;1973-12-20;;;;;;;;;
bouchke01w;Kelly;Anne;Boucher;;Forward;187.96;73.935;;1968-01-13;Calgary;;CAN;Canada;;;;;
bowenli01w;Lindsay;;Bowen;;Guard;170.18;65.771;Michigan State;1983-10-25;;;;;;;;;
boydca01w;Carla;Maree;Boyd;;Forward;185.42;78.018;;1975-10-31;Wynyard;;AUS;Australia;;;;;
boyerli99w;Lisa;;Boyer;;;;;;;;;;;;;;;
bradlki01w;Kisa;;Bradley;;Forward-Center;195.58;83.915;Oral Roberts;1974-08-26;;;;;;;;;
brancli01w;Lisa;;Branch;;Guard;162.56;;Texas A&M;;;;;;;;;;
branzal01w;Albena;Boicheva;Branzova;;Forward;193.04;81.647;Florida International;1971-07-17;;;;;;;;;
branzge01w;Gergana;Boicheva;Branzova;Gigi,Branzi;Forward;193.04;79.379;Florida International;1976-07-25;Bourgas;;BUL;Bulgaria;Jurii gagarin;Bourgas;;BUL;Bulgaria
braxtja01w;Janice;Faye;Braxton (nee Lawrence);;Forward-Center;190.5;80.739;Louisiana Tech;1973-10-06;Lucedale;;USA;United States of America;;;;;
braxtka01w;Kara;;Braxton;;Forward-Center;198.12;95.254;Georgia;1983-02-18;;;;;;;;;
brazian01w;Angie;;Braziel;;Forward;187.96;76.657;Texas Tech;1976-09-18;;;;;;;;;
brcanra01w;Razija;Mijanovic;Brcaninovic;;Center;203.2;89.811;none;1967-04-15;Ratkovac;;YUG;Yugoslavia;;;;;
brelaje01w;Jessica;;Breland;;Forward;190.5;77.111;North Carolina;1988-02-23;;;;;Bertie;Windsor;NC;USA;United States of America
bristre01w;Reshea;;Bristol;;Guard;177.8;63.049;Arizona;1978-02-10;;;;;;;;;
brogami01w;Michelle;Kathleen;Brogan;;Forward;185.42;80.286;;1973-02-08;Adelaid;;AUS;Australia;;;;;
brondsa01w;Sandra;Anne;Brondello;Sandy;Guard;170.18;61.689;U. Western Sydney;1968-08-20;Eton;;AUS;Australia;Mirani state;Mirani;QLD;AUS;Australia
brownci01w;Cynthia;Louise;Brown;Cindy;Forward-Center;187.96;83.007;Long Beach State;1965-03-16;Portland;OR;USA;United States of America;Ulysses s. grant;Portland;OR;USA;United States of America
brownco01w;Coretta;;Brown;;Guard;175.26;68.039;North Carolina;1980-10-21;;;;;Southeast bulloch;Brooklet;GA;USA;United States of America
brownde01w;Dee;;Brown;;;;;;;;;;;;;;;
browned01w;Edwina;;Brown;;Guard-Forward;175.26;73.935;Texas;1978-07-01;;;;;;;;;
brownki01w;Kiesha;;Brown;;Guard;177.8;60.781;Georgia;1979-01-13;Atlanta;GA;USA;United States of America;Woodward academy;Atlanta;GA;USA;United States of America
brownla01w;La'Shawn;;Brown;;Center;190.5;81.647;Louisiana Tech;1972-12-01;;;;;;;;;
brownle01w;Lesley;;Brown;;Forward;182.88;75.296;Virginia;1977-06-03;;;;;;;;;
brownru01w;Yerushia;;Brown;Rushia;Forward;187.96;79.379;Furman;1972-05-05;New york;NY;USA;United States of America;Summerville;Summerville;SC;USA;United States of America
brucegr99w;Greg;;Bruce;;;;;;;;;;;;;;;
brumfma01w;Marla;;Brumfield;;Guard;172.72;60.328;Rice;1978-06-06;;;;;;;;;
brungje01w;Jessica;;Brungo;;Forward;185.42;74.843;Penn State;1982-04-16;;;;;;;;;
brunsre01w;Rebekkah;;Brunson;;Forward;190.5;79.379;Georgetown;1981-12-11;;;;;;;;;
bryanjo01w;Joe;;Bryant;;;;;;;;;;;;;;;
bullevi01w;Victoria;Andrea;Bullett;Vicky;Forward;190.5;83.915;Maryland;1967-10-04;Martinsburg;WV;USA;United States of America;Martinsburg;Martinsburg;WV;USA;United States of America
burgean01w;Annie;Lilian;Burgess;;Guard;170.18;63.956;;1969-04-10;Port moresby;;PNG;Papua New Guinea;;;;;
burgehe01w;Heather;;Burge;;Center;195.58;88.45;Virginia;1971-11-11;Harbor city;CA;USA;United States of America;Palos verdes;Palos verdes;CA;USA;United States of America
burgehe02w;Heidi;Ann;Burge;;Forward;195.58;81.647;Virginia;1971-11-11;Harbor city;CA;USA;United States of America;Palos verdes;Palos verdes;CA;USA;United States of America
burgeli01w;Linda;Gail;Burgess;;Forward;185.42;78.471;Alabama;1969-07-27;Madison;AL;USA;United States of America;Bob jones;Madison;AL;USA;United States of America
burraal01w;Alisa;;Burras;;Center;190.5;98.883;Louisiana Tech;1975-06-23;;;;;;;;;
burseja01w;Janell;;Burse;;Center;195.58;90.265;Tulane;1979-05-19;;;;;;;;;
buttsta01w;Tasha;;Butts;;Guard;180.34;72.575;Tennessee;1982-03-10;;;;;;;;;
byearla01w;Latasha;Nashay;Byears;;Guard-Forward;180.34;93.44;DePaul;1973-08-12;Memphis;;USA;United States of America;Bolton;Millington;TN;USA;United States of America
byrdla01w;Laurie;;Byrd;;Guard;167.64;59.421;Eastern Michigan;1960-02-01;;;;;;;;;
cabezli01w;Liliana;;Cabezas;;Forward-Center;190.5;80.739;Central Florida CC;1973-10-25;;;;;;;;;
cainke01w;Kelley;;Cain;;Center;198.12;99.79;Tennessee;1989-05-16;;;;;St. pius x catholic;Atlanta;GA;USA;United States of America
camba01w;Elizabeth;;Cambage;Liz;Center;203.2;97.522;none;1991-08-18;Southwark;;ENG;England;;;;;
campbed01w;Edna;;Campbell;;Guard;172.72;68.946;Texas;1968-11-26;;;;;;;;;
campbmi01w;Michelle;;Campbell;;Forward-Center;195.58;77.111;USC;1974-02-20;;;;;;;;;
cantydo01w;Dominique;;Canty;;Guard-Forward;175.26;73.482;Alabama;1977-03-02;;;;;Whitney young;Chicago;IL;USA;United States of America
careyja01w;Jamie;;Carey;;Guard;167.64;61.235;Texas;1981-03-12;;;;;Horizon;Thornton;CO;USA;United States of America
carsoes01w;Essence;;Carson;;Guard-Forward;182.88;74.843;Rutgers;1986-07-28;;;;;Eastside;Paterson;NJ;USA;United States of America
carteam01w;Amisha;;Carter;;Forward;187.96;83.915;Louisiana State;1982-06-21;;;;;;;;;
cartede01w;Deborah;;Carter;;Guard-Forward;182.88;83.915;Georgia;1972-01-03;;;;;;;;;
cartesy01w;Sydney;Rene;Carter;;Guard;167.64;;Texas A&M;1990-11-18;Dallas;TX;USA;United States of America;Desoto;Desoto;TX;USA;United States of America
cashsw01w;Swintayla;Marie;Cash;Swin;Forward;185.42;73.482;Connecticut;1979-09-22;Mckeesport;PA;USA;United States of America;Mckeesport area;Mckeesport;PA;USA;United States of America
cassija01w;Jamie;;Cassidy;;Center;190.5;84.822;Maine;1978-09-12;;;;;;;;;
castriz01w;Iziane;;Castro Marques;;Guard-Forward;182.88;63.503;;1982-03-13;San luis do maranhao;;BRA;Brazil;;;;;
catchta01w;Tamika;Devonne;Catchings;;Forward;185.42;75.75;Tennessee;1979-07-21;Stratford;;USA;United States of America;Stevenson / duncanville;Lincolnshire / duncanville;IL / TX;USA;United States of America
caufila01w;LaNeishea;;Caufield;;Guard;175.26;72.121;Oklahoma;1980-05-25;;;;;;;;;
cebriel01w;Elisabeth;;Cebrian Scheurer;Betty,Gigante Femenino;Center;195.58;86.182;none;1971-02-07;Reus,taragona;;ESP;Spain;;;;;
chacoke01w;Keri;;Chaconas;;Guard;175.26;68.492;George Mason;1974-12-21;;;;;;;;;
chambco01w;Cori;;Chambers;;Guard;175.26;72.575;Georgia;1985-07-06;;;;;;;;;
chancva99w;Van;;Chancellor;;;;;;;;;;;;;;;
chanequ01w;Quianna;;Chaney;;Guard;180.34;72.575;Louisiana State;1986-04-14;;;;;;;;;
chapmji01w;Jill;;Chapman-Daily;;Center;190.5;93.44;Indiana;1979-11-04;;;;;;;;;
charlda01w;Daedra;Janel;Charles;;Forward-Center;190.5;63.956;Tennessee;1968-11-22;Detroit;MI;USA;United States of America;;;;;
charlti01w;Tina;Alexandria;Charles;;Center;193.04;89.811;Connecticut;1988-12-05;Flushing;;USA;United States of America;Christ the king;Middle village;NY;USA;United States of America
chaseso01w;Sonia;Lynn;Chase;;Guard;175.26;68.039;Maryland;1976-03-09;Baltimore;MD;USA;United States of America;Mcdonough school;Owings mills;MD;USA;United States of America
chatmda99w;Dana;;Chatman;Pokey;;;;;;;;;;;;;;
cheekjo01w;Joy;Kristin;Cheek;;Forward;185.42;91.172;Duke;1988-06-25;Hyattsville;;USA;United States of America;South mecklenburg;Charlotte;NC;USA;United States of America
cheruam01w;Amy;;Cherubini;;Guard;177.8;63.503;Indiana;1970-04-18;;;;;;;;;
chestfe01w;Felicia;;Chester;;Forward;190.5;81.647;DePaul;1988-03-24;St. louis;MO;USA;United States of America;;;;;
choneka01w;Kaayla;;Chones;;Center;190.5;81.647;North Carolina State;1981-01-11;;;;;;;;;
chriska01w;Kayte;;Christensen;;Forward;187.96;77.564;UC Santa Barbara;1980-11-16;;;;;;;;;
chriska02w;Karima;Brittany;Christmas;;Forward;182.88;81.647;Duke;1989-09-11;Long beach;;USA;United States of America;J. frank dobie;Houston;TX;USA;United States of America
chrissh01w;Shameka;;Christon;;Forward;185.42;77.111;Arkansas;1982-02-15;;;;;;;;;
cironkr01w;Kristi;Mary Rose;Cirone;;Guard;172.72;68.039;Illinois State;1987-05-19;Chicago;IL;USA;United States of America;Resurrection;Chicago;IL;USA;United States of America
clarkal01w;Alysha;;Clark;;Forward;177.8;75.75;Middle Tennessee State;1987-07-07;;;;;;;;;
clarkma01w;Margold;;Clark;;Forward-Center;190.5;;Arizona;1971-01-01;;;;;Senn metropolitan academy;Chicago;IL;USA;United States of America
cleamji01w;Jim;;Cleamons;;;;;;;;;;;;;;;
clearmi01w;Michelle;Louise;Chandler Cleary;;Guard;167.64;57.153;Australian Institute of Sport;1974-07-16;Geelong;;AUS;Australia;;;;;
clinest01w;Stacy;;Clinesmith;;Guard;165.1;67.132;UC Santa Barbara;1978-04-22;;;;;;;;;
coggicl01w;Claire;;Coggins;;Guard;180.34;77.111;Kansas State;1985-05-19;Lee summit;MO;USA;United States of America;Lee summit north;Lee summit;MO;USA;United States of America
cokermo01w;Monique;;Coker;;Forward;185.42;81.647;Old Dominion;1982-11-28;;;;;;;;;
colemco01w;Courtney;;Coleman;;Forward;182.88;77.111;Ohio State;1981-04-13;;;;;;;;;
colemma01w;Marissa;;Coleman;;Guard-Forward;185.42;72.575;Maryland;1987-01-04;;;;;St. johns college;Washington;DC;USA;United States of America
colleka01w;Katrina;Yvette;Colleton;Tree;Guard-Forward;177.8;65.771;Maryland;1971-03-17;Tampa;FL;USA;United States of America;East bay;Tampa;FL;USA;United States of America
colsosy01w;Sydney;;Colson;;Guard;172.72;63.503;Texas A&M;1989-08-06;Houston;TX;USA;United States of America;Westside;Houston;TX;USA;United States of America
compame01w;Megan;Helen;Compain;;Guard;175.26;64.864;St. Joseph's;1975-09-18;Wanganui;;NZL;New Zealand;;;;;
congran01w;Andrea;;Congreaves;;Forward-Center;187.96;83.007;Mercer;1970-06-03;;;;;;;;;
conklab01w;Abby;;Conklin;;Forward;190.5;79.379;Tennessee;1975-02-10;;;;;Charlestown;Charlestown;IN;USA;United States of America
consuca01w;Cara;;Consuegra;;Guard;172.72;65.317;Iowa;1979-03-04;;;;;;;;;
coopeca01w;Camille;;Cooper;;Center;193.04;79.832;Purdue;1979-02-05;;;;;;;;;
coopecy01w;Cynthia;Lynne;Cooper;;Guard;177.8;68.039;USC;1963-04-14;Chicago;IL;USA;United States of America;;;;;
coopemi01w;Michael;;Cooper;;;;;;;;;;;;;;;
cowenda01w;Dave;;Cowens;;;;;;;;;;;;;;;
coylepa99w;Pat;;Coyle;;;;;;;;;;;;;;;
crawlsy01w;Sylvia;;Crawley;;Forward-Center;195.58;84.822;North Carolina;1972-09-27;;;;;;;;;
crockda01w;Danielle;;Crockrom;;Forward;185.42;71.668;Baylor;1981-02-11;;;;;;;;;
crockwi01w;Willnett;;Crockett;;Forward;187.96;97.522;Connecticut;1984-07-05;Los angeles;CA;USA;United States of America;Nathaniel narbonne;Harbor city;CA;USA;United States of America
cronika01w;Katie;;Cronin;;Guard;182.88;70.307;Colorado State;1977-09-08;;;;;;;;;
crosssh01w;Shanna;;Zolman Crossley;;Guard;177.8;70.307;Tennessee;1983-09-07;;;;;Wawasee;Syracuse;IN;USA;United States of America
crumpca01w;Cassandra;;Crumpton-Moorer;;Guard;177.8;71.668;Alabama;1962-10-29;;;;;;;;;
cummiki01w;Kirsten;;Cummings;;Forward;190.5;85.275;Long Beach State;1963-08-29;;;;;;;;;
cunnibe01w;Beth;;Morgan Cunningham;;Guard;182.88;73.935;Notre Dame;1975-06-05;;;;;;;;;
cunnida01w;Davalyn;;Cunningham;;Forward;182.88;84.822;Rutgers;1980-01-27;;;;;;;;;
cunnima01w;Mara;;Cunningham;;Forward-Center;193.04;;Vanderbilt;1973-05-20;;;;;Fairfax;Fairfax;VA;USA;United States of America
currimo01w;Monique;;Currie;;Forward;182.88;80.286;Duke;1983-02-25;;;;;The bullis school;Washington;DC;USA;United States of America
curryed01w;Edniesha;;Curry;;Guard;162.56;62.596;Oregon;1979-07-09;;;;;;;;;
dailesh99w;Shell;;Dailey;;;;;;;;;;;;;;;
dalesst01w;Stacey;;Dales;;Guard-Forward;182.88;70.307;Oklahoma;1979-09-05;Collingwood;;CAN;Canada;;;;;
daleygr01w;Grace;;Daley;;Guard;167.64;66.678;Tulane;1978-06-26;;;;;;;;;
darlihe01w;Helen;;Darling;;Guard;167.64;74.389;Penn State;1978-08-29;;;;;Brookhaven;Columbus;OH;USA;United States of America
darscna99w;Nancy;;Darsch;;;;;;;;;;;;;;;
davenje01w;Jessica;;Davenport;;Center;195.58;97.522;Ohio State;1985-06-24;;;;;Independence;Columbus;OH;USA;United States of America
davisbr01w;Brandi;;Davis;;Guard;182.88;78.018;Oregon;1983-01-01;;;;;;;;;
daviscl01w;Clarissa;Glennet;Davis-Wrightsil;;Forward;185.42;74.843;Texas;1967-06-04;San antonio;;USA;United States of America;;;;;
davisde01w;Deeona;;Davis;Dee;Guard;170.18;62.596;Vanderbilt;1984-11-08;Cincinnati;OH;USA;United States of America;Princeton;Cincinnati;OH;USA;United States of America
davisla01w;Latina;;Davis;;Guard;170.18;65.771;Tennessee;1974-10-08;;;;;Franklin county;Winchester;TN;USA;United States of America
davista01w;Tara;;Davis;;Forward;177.8;72.575;Washington;1972-09-25;;;;;;;;;
davista02w;Tanae;;Davis-Cain;;Guard;180.34;;Florida State;1987-06-07;Dawson;GA;USA;United States of America;Terrell county;Dawson;GA;USA;United States of America
dedenka01w;Karen;;Deden;;Forward;193.04;77.111;Washington;1969-09-23;;;;;Sentinel;Missoula;MT;USA;United States of America
deforan01w;Anna;;DeForge;;Guard;177.8;72.575;Nebraska;1976-04-14;;;;;;;;;
derevje01w;Jennifer;;Derevjanik;;Guard;177.8;63.503;George Mason;1982-03-29;;;;;;;;;
desouer01w;Erika;Cristina;de Souza;;Forward-Center;195.58;86.182;;1982-03-03;Rio de janeiro;;BRA;Brazil;;;;;
dickeke01w;Keitha;;Dickerson;;Forward;180.34;74.843;Texas Tech;1978-04-20;;;;;Elk city;Elk city;OK;USA;United States of America
dillata01w;Tai;;Dillard;;Guard;175.26;69.853;Texas;1981-05-06;;;;;;;;;
dixonin01w;Ingrid;;Dixson;;Center;190.5;;California;1972-09-16;;;;;Edgewood;West covina;CA;USA;United States of America
dixonta01w;Tamecka;;Dixon;;Guard;175.26;67.132;Kansas;1975-12-14;;;;;Linden;Linden;NJ;USA;United States of America
doagela01w;LaToya;;Doage;;Guard;167.64;62.142;Nebraska;1975-05-15;;;;;;;;;
domonna01w;Nadine;;Domond;;Guard;177.8;59.874;Iowa;1975-09-28;;;;;Bridgeport central;Bridgeport;CT;USA;United States of America
donapbe01w;Bethany;;Donaphin;;Forward-Center;187.96;88.45;Stanford;1980-08-27;;;;;;;;;
donovan99w;Anne;;Donovan;;;;;;;;;;;;;;;
doronsh01w;Shay;;Doron;;Guard;175.26;65.771;Maryland;1985-04-01;Ramat hasharon;;ISR;Israel;Christ the king (jr-sr);Middle village;NY;USA;United States of America
dossaci01w;Cintia;Silva;dos Santos;;Center;195.58;84.822;;1975-01-31;Maua;;BRA;Brazil;;;;;
